220,14,Santa Cruz del Quiché
221,14,Chiché
222,14,Chinique
223,14,Zacualpa
224,14,Chajul
225,14,Nebaj
226,14,Cunén
227,14,Uspantán
228,14,San Pedro Jocopilas
229,14,Chichicastenango
230,14,Patzité
231,14,San Antonio Ilotenango
232,14,San Andrés Sajcabajá
233,14,San Bartolomé Jocotenango
234,14,Canillá
235,14,Chicamán
236,14,Pachalum
237,14,Ixcán
238,15,Salamá
239,15,San Miguel Chicaj
240,15,San Jerónimo
241,15,El Chol
242,15,Rabinal
243,15,Cubulco
244,15,Granados
245,15,Purulhá
246,16,Cobán
247,16,San Pedro Carchá
248,16,San Juan Chamelco
249,16,San Cristóbal Verapaz
250,16,Tactic
251,16,Tamahú
252,16,Tucurú
253,16,Patzité
254,16,Senahú
255,16,Cahabón
256,16,Lanquín
257,16,Chisec
258,16,Fray Bartolomé de Las Casas
259,16,Chahal
260,16,Pancajché
261,16,Santa Cruz Verapaz
262,16,La Tinta
263,16,Raxruhá
264,17,Flores
265,17,San Benito
266,17,La Libertad
267,17,San Francisco
268,17,San Andrés
269,17,San José
270,17,Melchor de Mencos
271,17,Poptún
272,17,Dolores
273,17,San Luis
274,17,Sayaxché
275,17,Santa Ana
276,17,Las Cruces
277,18,Puerto Barrios
278,18,Livingston
279,18,El Estor
280,18,Morales
281,18,Los Amates
282,19,Zacapa
283,19,Estanzuela
284,19,Río Hondo
285,19,Gualán
286,19,La Unión
287,19,Huité
288,19,Cabañas
289,19,Teculután
290,19,Usumatlán
291,19,San Jorge
292,20,Chiquimula
293,20,San José La Arada
294,20,San Juan Ermita
295,20,Olopa
296,20,Esquipulas
297,20,Concepción Las Minas
298,20,Quezaltepeque
299,20,Jocotán
300,20,Camotán
301,20,San Jacinto
302,20,Ipala
303,21,Jalapa
304,21,San Pedro Pinula
305,21,San Luis Jilotepeque
306,21,San Manuel Chaparrón
307,21,San Carlos Alzatate
308,21,Monjas
309,21,Mataquescuintla
310,22,Jutiapa
311,22,El Progreso
312,22,Santa Catarina Mita
313,22,Comapa
314,22,Jalpatagua
315,22,Conguaco
316,22,Moyuta
317,22,Pasaco
318,22,San José Acatempa
319,22,Zapotitlán
320,22,Agua Blanca
321,22,Atescatempa
322,22,Jerez
323,22,Yupiltepeque
324,22,El Adelanto
325,22,Quesada
